id,Domain,Status,Attractiveness,Demand,Length,Registrar,Created,Expires
17bfe614-ac12-408d-926a-e6ea44162db2,power.store,premium,98,96,5,,,
260beead-81d0-4eb0-955a-fe2949acc943,power.expert,premium,98,96,5,,,
9883bbe8-10ac-4e17-bb80-11710df43510,power.ninja,premium,98,96,5,,,
8231b97b-ddd9-48de-9a6e-da3322d57d33,power.online,premium,98,96,5,,,
a1f83eb4-7240-465b-9ab4-af56d0937439,power.site,premium,98,96,5,,,
238fbde9-f2e6-4f5b-a927-bdb54c36a300,power.so,resell,98,96,5,NameCheap,21/06/2020 05:03,21/06/2026 05:03
06295bfb-305f-40b3-878d-448c93fdd0e1,power.space,premium,98,96,5,,,
b0cc7e1f-11c3-4f97-897e-4c4b06d8f2e6,electricity.at,sold,80,80,11,DomainQuadrat Marketing GmbH ( https://nic.at/registrar/581 ),,
969d017f-911f-488f-bc52-d88418fbed3c,electricity.cloud,premium,80,80,11,,,
44f4698d-d4b2-401b-a4e3-ae4f39df8c3f,electricity.dev,premium,80,80,11,,,
d6dd22f0-9d0e-4eaf-87d5-8956dcc1baf8,electricity.expert,available,80,80,11,,,
b40e3417-cfd2-4001-8e18-45b3239273c3,electricity.it,resell,80,80,11,,17/03/2018 09:00,12/03/2026 00:00
506fbd20-493b-4b64-b043-54a0adddd110,electricity.me,expiring,80,80,11,"GoDaddy.com, LLC",17/07/2008 17:55,17/07/2025 17:55
e126de18-bfd7-43bf-9954-5b905ca9e784,electricity.online,premium,80,80,11,,,
37b762d1-c1fa-45de-9666-b79b158d3401,electricity.pro,resell,80,80,11,"Soluciones Corporativas IP, SL",25/11/2007 00:00,25/11/2025 00:00
260a53aa-5142-4ec0-a6e1-5f0f816a9912,electricity.site,premium,80,80,11,,,
81d4c3d3-a9c0-4209-b43d-b64d9d20aac9,electricity.so,resell,80,80,11,Dynadot LLC,13/03/2023 18:01,13/03/2026 18:01
664d81d5-6c99-4bdc-b7a6-1a7cbdbe6c23,electricity.store,premium,80,80,11,,,
43d32877-1467-4f32-b76b-b34af1e8b7a3,electricity.tech,premium,80,80,11,,,
52dfdea0-d020-4298-b1be-4028a6419f90,electricity.us,resell,80,80,11,"GoDaddy.com, LLC",24/04/2002 14:02,23/04/2026 23:59
f5b8004c-8b8b-4faf-85c5-19f7c57078c4,electricity.zone,available,80,80,11,,,
e683e4d4-4497-459c-80d3-b22b4330c129,supply.at,available,100,88,6,,,
da2e0753-7ba9-4220-a0d4-ff6657801a32,supply.expert,available,100,88,6,,,
b65d1969-4cd4-428f-bf10-74b5ad822d33,supply.me,available,100,88,6,,,
820bf357-b074-4d72-b011-a2e26ae2b6db,supply.online,available,100,88,6,,,
96567d07-669d-46a0-8bcb-d00394112f6d,supply.pro,resell,100,88,6,Dynadot Inc,26/08/2008 00:00,08/09/2025 00:00
a654ace0-2644-43a9-86cc-858597a048c6,supply.site,available,100,88,6,,,
bd89dc12-0c75-4470-91f4-ee5b2f171f39,supply.so,expiring,100,88,6,NameCheap,06/08/2021 01:36,06/08/2025 01:36
9a33153b-16e9-4fc3-83bf-6dcd97b6e24e,supply.space,premium,100,88,6,,,
3239e82b-5044-4cb1-92ca-97d931f43fc1,supply.store,premium,100,88,6,,,
1adc7c77-32cc-4ff5-9be8-d9f7a708dcb7,supply.tech,premium,100,88,6,,,
8aefb8d4-c1e6-4212-a56f-6a4a270561f9,energy.at,available,82,80,6,,,
83175a48-699e-43ec-87ba-bb2d70437f0d,energy.co,resell,82,80,6,Hello Internet Corp.,25/02/2010 00:26,24/02/2026 23:59
2ca09ca7-2657-4c70-85bf-fa46ecf7af7c,energy.expert,available,82,80,6,,,
443c46b4-4b3f-47ec-9da2-d60f3b231bc8,energy.gg,resell,82,80,6,"NameCheap, Inc (https://www.namecheap.com)",,
6c685f19-af10-459b-977f-44d1f575f94f,energy.io,resell,82,80,6,"Spaceship, Inc.",29/01/2007 01:41,29/01/2026 01:41
44985b36-1855-4f17-acfb-86ca08c8c82d,energy.online,available,82,80,6,,,
0f4dafbd-442c-42ed-a500-35d5d2439cbf,energy.so,resell,82,80,6,NameCheap,18/08/2020 03:02,18/08/2025 03:02
ec34bf4a-d522-4e77-b4b9-8ea35c11cee4,energy.space,available,82,80,6,,,
a3ebf7c4-3b76-41b8-8427-ccf7e50191bb,energy.tech,resell,82,80,6,Dotserve Inc,16/02/2021 19:40,16/02/2029 23:59
43ee9afc-2b93-4d9b-a58b-72c746efec76,energy.zone,premium,82,80,6,,,
fcdd2985-eb6d-4334-ad34-10a0a1395715,powersupply.app,available,54,88,12,,,
87b10fc6-b817-4fe3-9f43-8443ba622135,powersupply.at,available,54,88,12,,,
e42ea099-c67d-45fc-a551-5ec4e931a832,powersupply.cloud,available,54,88,12,,,
7ffb4068-f2c9-455c-8cb4-2d3ef5070595,powersupply.co,resell,54,88,12,InternetX GmbH,07/04/2017 18:07,06/04/2026 23:59
